Jäällä [MASK] avaa aina hauskoja ja erikoisia näkökulmia kaupunkiin .	kävely
Kun vuosittaiset bruttotulot putoavat alle 20 000 euron , vain viisi [MASK] hyödyntää kotitalousvähennystä säännöllisesti ja vain 6–7 prosenttia on joskus käyttänyt sitä .	prosenttia
Silti vain [MASK] yli 70 000 euroa vuodessa ansaitsevista talouksista ilmoitti , että vähennykseen koskeminen vähentäisi haluja kotiavun käyttöön .	neljäsosa
Yksi Helsingin ja Pietarin välinen [MASK] uhkaa jäädä ajamatta suomalaisten ja venäläisten aikataulukiistojen vuoksi , Etelä-Saimaa kirjoittaa .	Allegro-junavuoro
Suomen ja Venäjän välinen [MASK] kasvaa marraskuussa kahteen tuntiin , kun Suomi siirtyy talviaikaan .	aikaero
[MASK] haluaisivat aikaistaa yhden Helsingistä lähtevän Allegro-vuoron lähtöä , jotta jatkoyhteyksissä voitaisiin käyttää Pietarin metroa .	Venäläiset
[MASK] eivät halua muuttaa aikatauluja , koska Karjalan radan liikennettä on vaikea sovittaa junan aikaisempaan lähtöön .	Suomalaiset
Jos aikataulukiistaan ei löydy sopua , [MASK] vuoroista uhkaa jäädä ajamatta , Etelä-Saimaa kirjoittaa .	yksi
Sovun myötä tiistaina alkavaksi suunnitellut [MASK] peruuntuvat .	pistelakot
Uuden sopimuksen myötä lennonjohtajien [MASK] nousevat .	palkat
[MASK] ja SLJY hyväksyivät valtakunnansovittelija Esa Lonkan sovintoesityksen myöhään viime yönä .	PALTA
Tiistaiaamuksi alkavaksi suunnitellut [MASK] peruuntuvat sovun myötä .	pistelakot
[MASK] koskivat työehtosopimuksen soveltamisalaa , palkankorotuksia ja vuoron sisäisiä tauotuksia .	Neuvottelut
[MASK] saavat lisäksi 500 euron korvauksen hyvitykseksi pitkittyneiden sopimusneuvotteluiden vuoksi viivästyneistä palkankorotuksista .	Lennonjohtajat
SLJY:n puheenjohtaja [MASK] Utunen kertoo Ylelle , että neuvottelut sujuivat asiallisessa ja rakentavassa hengessä .	Antero
Aamulehden mukaan [MASK] koskee etenkin ulkomaista lihaa .	antibioottivaara
Esimerkiksi tanskalaiset [MASK] saavat kaksi kertaa enemmän antibiootteja kuin suomalaiset eläimet .	tuotantoeläimet
[MASK] kiihdytti edellisvuodesta	Pakettiautomyynti
Varsinkin [MASK] kävivät hyvin kaupaksi .	pakettiautot
[MASK] karttui 14,6 prosenttia viime vuoden vastaavaan ajankohtaan verrattuna .	Kasvua
[MASK] käyvät ilmi Autoalan Tiedotuskeskuksen ylläpitämistä ensirekisteröintitilastoista .	Tiedot
Suomalaisia ei henkilötietojen [MASK] paljon kiinnosta	suojaus
Kun kauppaketju tai nettipalvelu kysyy henkilötietoja , [MASK] antaa ne muita eurooppalaisia auliimmin .	suomalainen
[MASK] käy ilmi Euroopan komission tutkimuksesta .	Asia
Maksukorttien ja nettisivujen kautta tapahtuva [MASK] huolestuttaa vain virolaisia vähemmän kuin suomalaisia .	seuranta
Kun kaksi kolmesta britistä ja saksalaisesta pitää kännykkänumeroaan henkilökohtaisena tietona , vain [MASK] suomalaisista oli samaa mieltä .	kolmannes
Sormenjäljistään [MASK] eivät huolehdi .	suomalaiset
Suomalaisista 46 [MASK] pitää sormenjälkiä henkilökohtaisena tietona .	prosenttia
Suomalaisista 54 [MASK] ei luota siihen , että verkkopalvelujen tarjoajat suojaavat käyttäjän henkilötietoja .	prosenttia
Yhdysvaltojen huono [MASK] masensi Helsingissäkin	talousdata
[MASK] tarttui Helsinkiin Yhdysvalloista , jossa julkistettiin tänään teollisuustuotannon ostopäällikköindeksi .	Mollitunnelma
Indeksin mukaan Yhdysvaltain teollisuustuotannon [MASK] jäi odotettua heikommaksi .	kasvu
Yleisindeksi [MASK] laski ja painorajoitettu OMXH Cap laskivat kumpikin 2,8 prosenttia .	OMXH
[MASK] kertyi 521 miljoonaa euroa , josta Nokiaa 138 miljoonaa euroa .	Vaihtoa
Konepajayhtiö [MASK] kertoi ostaneensa kaivoshuoltajan Arizonasta .	Metso
[MASK] kertoi , että kauppa vahvistaa yhtiön asemaa Yhdysvalloissa , Meksikossa ja Kanadassa .	Yhtiö
[MASK] laski 6,9 prosenttia .	Osake
Kaivosteknologiayhtiö Outotecin [MASK] sukelsi 10,1 prosenttia saatuaan Danskelta myyntisuosituksen .	osake
Sveitsiläispankki [MASK] Suisse laski Neste Oilin osakkeen tavoitehintaa 13,60 eurosta 11,50 euroon .	Credit
[MASK] ilmoitti tänään myyvänsä Virossa sijaitsevan kaasuyhtiön Reola Gaasin virolaiselle Alexela-yhtiölle .	Yhtiö
[MASK] laski tulosvaroituksen perjantaina antaneen viestintäkonserni Sanoman osakesuositusta .	Pohjola-pankki
Yhtiön [MASK] painui 1,72 prosenttia .	kurssi
[MASK] ja Ilkka julkistivat tänään tuloksensa .	Ålandsbanken
[MASK] kertoi , että yhtiön toisen vuosineljänneksen tulos painui tappiolliseksi Ruotsin-toimintojen uudelleenjärjestelykulujen vuoksi .	Ålandsbanken
Pankin [MASK] eteni 3,4 prosenttia perjantain päätöskurssiin verrattuna .	A-osake
Mediatalo [MASK] kertoi odotuksia suuremmasta tuloksesta sekä valoisista näkymistä loppuvuodelle .	Ilkka
Y htiön [MASK] nousi 2,7 prosenttia .	osake
Verkkoviestintäyhtiö [MASK] antoi tänään ennakkotietoja tuloksestaan .	Soprano
[MASK] heikkeni 4,2 prosenttia .	Osake
Kyberrikollisuuden [MASK] paisui rajusti	hintalappu
[MASK] sulki Nordean konttoreita pääkaupunkiseudulla 2003 .	Tietokonevirus
[MASK] häiritsevän yritysten ja julkishallinnon organisaatioiden työtä reippaasti aiempaa enemmän .	Kyberhyökkäykset
Myös hyökkäysten [MASK] on paisumaan päin , tuore tutkimus kertoo .	hintalappu
[MASK] on noussut 42 prosenttia edellisvuoteen verrattuna .	Määrä
Tutkimuksen mukaan [MASK] aiheutti tutkituille yrityksille keskimäärin 4,15 miljoonan euron vuotuiset kustannukset .	kyberrikollisuus
[MASK] karttui jopa 56 prosenttia edellisvuoteen verrattuna .	Nousua
– [MASK] ovat lisääntyneet ja kehittyneet aiheuttaen entistä suurempia riskejä yritysten taloudelle , HP:n ohjelmistoista vastaava johtaja Heikki Rouhesmaa sanoo tiedotteessa .	Verkkohyökkäykset
[MASK] XPRS teki niin ikään ennätyksensä .	Viking
[MASK] kuljetti 221 079 matkustajaa , joka oli 5,1 prosenttia enemmän kuin viime vuonna vastaavana aikana .	Se
[MASK] kertoo laivojensa kuljettaneen Tallinnan reitillä yhdessä kuukaudessa yli puoli miljoonaa matkustajaa .	Se
Tuolloin Star , Superstar ja Baltic Princess [MASK] kuljettivat Helsingin ja Tallinnan välillä 395 614 matkustajaa .	-alukset
Kun mukaan luetaan kahdella katamaraanilla operoiva Linda Line varustamo , heinäkuun matkustajien [MASK] nousi yli 900 000:een .	kokonaismäärä
[MASK] kertoo yhdensuuntaisten matkojen määrä , joten liikkeellä olleiden matkustajien määrä oli runsas 450 000 .	Tilastoluku
Ainakin [MASK] tuntuvat vaihtaneen Tukholman Tallinnaan kiinnostavimpana risteilykohteena .	suomalaiset
Tilastokeskuksen keskiviikkona julkistamien lukujen mukaan Ruotsiin risteilleiden [MASK] putosi kesäkuussa viidenneksen , kun ulkomaanmatkat kokonaisuudessaan lisääntyivät yhdeksän prosenttia viime vuodesta .	määrä
Espanjan ja Italian [MASK] yrittävät kuumeisesti saada maita uhkaavan markkinoiden paniikkireaktion kuriin .	johtajat
Espanjan [MASK] ilmoitti , että pääministeri Jose Luis Rodriguez Zapatero keskeytti tiistaina alkaneen lomansa ja palasi Madridiin keskiviikkoaamuna .	hallitus
[MASK] pitää ministereidensä kanssa kriisikokouksen tilanteesta , uutistoimisto Bloomberg kertoi .	Zapatero
[MASK] tapaa vielä iltapäivän aikana valtiovarainministeri Elena Salgadon ja valtioneuvoston tiedottajan Jose Blancon .	Zapatero
[MASK] aikoo myös tiedottaa tilanteesta poliittisille puolueille .	Pääministeri
[MASK] lykkäsi tiistaina lomallelähtöään iltayhdeksään keskustellakseen muiden eurooppalaisten johtajien ja EU-komission kanssa .	Zapatero
– [MASK] , että Zapatero on keskeyttänyt lomansa , osoittaa että tilanne on epätoivoinen , 4Cast-konsulttiyhtiön analyytikko Jo Tomkins sanoi uutistoimisto Reutersille .	Se
[MASK] hermostuneet	Sijoittajat
Sijoittajien uusilta Espanjan lainoilta vaatima [MASK] on alkanut lähestyä seitsemää prosenttia eli samaa tasoa , joka nähtiin juuri ennen kuin Kreikalle , Portugalille ja Irlannille piti koota pelastuspaketit .	korko
Kymmenvuotisten valtionlainojen [MASK] nousivat tiistaina euroajan ennätyksiin : Espanjassa 6,42 prosenttiin ja Italiassa 6,26 prosenttiin .	tuottoprosentit
Pääministeri [MASK] Berlusconi ilmoitti pitävänsä tänään kaksi puhetta vakuuttaakseen kansalaiset ja sijoittajat siitä , että Italia pystyy estämään ajautumisen velkakriisin uudeksi uhriksi .	Silvio
Italian valtiovarainministeri [MASK] Tremonti tapasi keskiviikkona Luxemburgin pääministerin ja euromaiden valtiovarainministereiden ryhmän puheenjohtajan Jean-Claude Junckerin .	Giulio
[MASK] kertoi , että keskustelussa käsiteltiin " kaikkia ongelmia " , joita seitsemäntoista euromaan ryhmällä on vastassaan .	Juncker
[MASK] puolestaan kuvasi keskustelua " pitkäksi ja hedelmälliseksi " .	Tremonti
[MASK] kehottaa matkustajia tulemaan kentälle tavalliseen tapaan .	Finavia
Mahdollinen [MASK] voi aiheuttaa muutoksia lähtöaikoihin , joten oman lennon tilannetta kannattaa seurata esimerkiksi lentoyhtiön tarjoaman tekstiviestipalvelun kautta .	lakko
[MASK] aloittavat huomenna aamulla kahden tunnin pistelakot , jos Suomen Lennonjohtajien ja Palvelualojen työnantajien väliseen työehtokiistaan ei löydy tänään sopua .	Lennonjohtajat
Saksalaiset [MASK] syyttävät kreikkalsia sairaaloita ja lääkeyrityksiä yli miljardin euron veloista .	lääkeyritykset
Saksan lääketeollisuuden etujärjestö [MASK] syyttää kreikkalaisia sairaaloita ja lääkäriasemia laskujen laiminlyönnistä .	BPI
[MASK] uhkailevat , että he voivat maksaa laskuista vain osan , vaikka lääketeollisuus on alentanut useiden tuotteiden hintoja viime vuonna .	Kreikkalaiset
[MASK] on aloittanut tiukan säästökuurin , joka koskee myös maan sairaaloita .	Kreikka
Euroopan [MASK] joutuu käyttämään velkamaiden pelastukseen epätavallisen järeitä toimia .	unioni
Unionin [MASK] on samalla muuttumassa .	perusluonne
[MASK] koskevat myös heinäkuussa 2013 voimaan astuvan pysyvän vakausmekanismin ( EVM ) toimintaa .	Muutokset
[MASK] ja EVM voivat Valtioneuvoston tiedotteen mukaan vastaisuudessa käyttää ennakoivaa varautumista kriisien hallitsemiseksi samaan tapaan kuin Kansainvälisen valuuttarahaston IMF:n vastaavat mekanismit .	ERVV
Lisäksi [MASK] voivat vastedes toimia joukkovelkakirjalainojen jälkimarkkinoilla , jos euroalueen keskuspankki EKP arvioi rahoitusmarkkinoiden vakauden olevan uhattuna .	vakausvälineet
Brysselissä sovitut [MASK] tekevät vakausvälineistä kuin eurooppalaisen version IMF:stä , arvostettu saksalainen Spiegel-lehti kirjoittaa artikkelissaan .	uudistukset
ERVV:n uudet [MASK] merkitsevät , että kehitys kohti Euroopan valuuttarahastoa on selkeästi saatu alulle .	valtuudet
Lehden mukaan jopa Saksan liittokansleri [MASK] Merkel , joka on pitkään vastustanut ideaa Euroopan valuuttarahastosta , myönsi , että " vertauksen Kansainväliseen valuuttarahastoon voi kyllä tehdä " .	Angela
" [MASK] ei toimi ilman yhteistä talouspolitiikkaa "	Yhteisvaluutta
Useat [MASK] ja johtavat taloustieteilijät ovat sanoneet euroalueen kriisin johtuvan rakenteellisista valuvirheistä .	asiantuntijat
New Yorkin yliopiston taloustieteen professori [MASK] Roubini kirjoitti vastikään , että vaihtoehtoina ovat tiukempi taloudellis-poliittinen yhdentyminen , käytännössä liittovaltio , tai päätyminen sekavaan kriisitilaan ja lopulta euroalueen hajoamiseen .	Nouriel
Aunesluoman mukaan sisämarkkinayhdentymisen [MASK] ovat tulleet vastaan , ja lisäintegraation mahdollistamiseksi järjestelmää nyt muutettiin .	rajat
[MASK] Aunesluoma pitää hyvin epätodennäköisenä , että kriisejä edeltävään aikaan olisi enää paluuta .	Juhana
Vaikka tilanne saataisiin rauhoitettua ja purettua hallitusti , [MASK] ei haluaisi ottaa riskiä , että kriisi toistuisi .	kukaan
Sen [MASK] edellyttää uusia mekanismeja , joilla pystytään entistä aikaisemmin puuttumaan esimerkiksi holtittomaan velkaantumiseen ja valtioiden verotusjärjestelmiinkin , Aunesluoma sanoo .	estäminen
EU:n [MASK] joutui ensimmäistä kertaa kovaan testiin , joka paljasti järjestelmän virheet .	talousjärjestelmä
– Järjestelmän [MASK] eivät realisoituneet niin kuin odotettiin .	riskit
Laajempi [MASK] toisi mukanaan myös poliittista vastustusta , kun kansallisvaltiot joutuisivat luopumaan itsemääräämisoikeudestaan .	yhdentyminen
– Viime viikon [MASK] tulee näyttäytymään käännekohtana , jonka jälkeen euroalue lakkasi olemasta kansallisvaltioiden joukko .	torstai
[MASK] tulee olemaan niin täydellistä , että vauraampien maiden veronmaksajien odotetaan maksavan heikkojen ja epäonnistuvien EU-maiden hyvinvointijärjestelmät ja eläkerahastot , hän kirjoittaa .	Integraatio
[MASK] on yhä lähempänä saavuttaa Otto von Bismarckin unelman Euroopan laajuisesta taloudellisesta imperiumista , Oborne kirjoittaa .	Saksa
Helsingin yliopiston [MASK] Aunesluoma kommentoi Obornen ajatuksia sanomalla , että ne ovat provokaatioksi tarkoitettu heitto , jossa on kuitenkin osa totuutta .	Juhana
– Tämä [MASK] on ollut olemassa jo ainakin sata vuotta .	ajatus
[MASK] julkaisee Suomen kasvatuksen ja koulutuksen historiaan perehtyvän suurteoksen , jonka ensimmäisen osan on toimittanut Suomen historian professori Kirsi Vainio-Korhonen Turun yliopistosta .	SKS
Suomen Historiallisen Seuran suurhankkeen ensimmäinen [MASK] " Huoneentaulun maailma . Kasvatus ja koulutus Suomessa keskiajalta 1860-luvulle " selvittää , millaista kasvatusta ja koulutusta lapsille ja nuorille tarjottiin ennen vuoden 1920 yleistä oppivelvollisuuslakia .	osa
[MASK] lupaa tarjota uudenlaisen näkökulman suomalaiseen kasvatus- ja koulutushistoriaan .	Teos
Miten [MASK] toimi valtion ja kirkon intressien välineenä ?	oppiminen
Miten säätyjen väliset [MASK] ja vallan tasapaino ilmenivät kasvatuksessa ?	jännitteet
[MASK] kattaa suomalaisen koulutuksen ja kasvatuksen historian keskiajalta autonomiselle 1800-luvulle .	Kirja
[MASK] ja kasvatusolot pysyivät pitkään melko samanlaisia , kun kasvatus ja koulutus tapahtuivat kotitalouksissa , joissa opittiin seuraamalla ja esimerkin kautta .	Koulutus-
Suurimmat [MASK] suomalaisessa koulutuksessa alkoivat tapahtua 1700-luvun lopulla ja 1800-luvulla .	muutokset
Kehittyvä [MASK] tarvitsi runsaasti henkisiä voimavaroja .	kansakunta
Eurooppalainen [MASK] nosti yhä kiivaammin esille myös rahvaan lasten ja tyttöjen tarpeen opintoihin .	aikalaiskeskustelu
Torstaina 6.5.2010 SKS:n juhlasalissa Helsingissä julkaistavan suurteoksen ensimmäisen osan on toimittanut professori [MASK] on myös osallistunut kirjan kirjoittamiseen .	Vainio-Korhonen
[MASK] tuli kemiaan	Kevät
Kemian [MASK] esittelivät tekemiään opinnäytteitä vuosittaisessa Kemian kevät -tapahtumassa .	opiskelijat
[MASK] alkoi kemian oppiaineen linjaesittelyllä , joka oli tarkoitettu toisen vuoden opiskelijoille .	Tilaisuus
Sen jälkeen maisterivaiheen [MASK] pitivät erikoistyöesitelmiä ja esittelivät saavuttamiaan kokeellisia tuloksia posterien avulla .	opiskelijat
[MASK] tarkoittaa sitä , että kysyjä on kiinnostunut aiheesta ja haluaa lisätietoa , Arpalahti kertoi .	Se
[MASK] Sund teki erikoistyönsä otsikon aiheesta .	Henri
Mitä ihmettä [MASK] tarkoittaa ?	tämä
Jos tämä onnistuisi , [MASK] voisi antaa lisävaihtoehtoja muuhun kehitykseen , luoda uudenlaisia kelaatteja , Sund kertoi .	se
Lantanidikelaattejen [MASK] merkkiainemolekyyleinä bioaffiniteettimäärityksissä on mahdollistanut erittäin herkkien menetelmien kehittämisen esimerkiksi kliiniseen diagnostiikkaan .	käyttö
- [MASK] Diagnostics , jossa tein työni , valmistaa laitteita , joita käyttämällä pystytään sairaanhoitajan vastaanotolla tai lääkärinvastaanotolla tutkimaan esimerkiksi verinäytteestä sydäninfarktiriski .	Innotrac
Agricola ja kolme vekkulia [MASK] saa historian elämään	-patsaskävely
[MASK] tutustuvat historiankirjojen sivuilta tuttuihin paikkoihin Turun yliopiston järjestämällä kierroksella .	Koululaisryhmät
[MASK] kuudesluokkalaisia Savonlinnan normaalikoulusta hytisee Tuomiokirkon portailla .	Luokkaretkiryhmä
Retken historiallinen [MASK] saa täydennystä , kun savonlinnalaiset osallistuvat Turun yliopiston järjestämälle Agricola ja kolme -vekkulia kierrokselle , jossa kierrätetään viides- ja kuudesluokkalaisia koululaisryhmiä Tuomiokirkon ympäristössä ja Yliopistonmäellä .	anti
[MASK] Soikkanen kertoo koululaisryhmälle , että Tuomiokirkon kupeessa sijaitsi Suomen ensimmäinen koulu .	Eeva-Maria
− Tuolloin [MASK] eivät saaneet käydä koulua , tietävät useat historianläksynsä lukeneet opastettavat .	tytöt
[MASK] kertoo , että Agricola joutui keksimään uusia sanoja , kun kehitti suomen kirjakieltä .	Soikkanen
Kolme [MASK] heräävät henkiin Yliopistonmäellä .	vekkulia
[MASK] kertoo , että Lönnrot , Runeberg ja Snellman tulivat kaikki Turun vanhaan yliopistoon opiskelemaan samana vuonna ennen kuin kaupunki paloi ja yliopisto siirtyi Helsinkiin .	Soikkanen
[MASK] sanoo , että Agricola ja kolme vekkulia -kierroksella oppi uutta .	Outi
[MASK] Soikkanen toimii kierroksen oppaana .	Eeva-Maria
− [MASK] muutti kaiken .	Palo
[MASK] lähti keräämään kansanrunoutta , Snellman Helsinkiin ja Runeberg Paraisille , mistä hän löysi Fredika-vaimonsa − runebergintortun kehittäjän .	Lönnrot
Loimaalla tiistaina pidetyssä vuosijuhlassaan Varsinais-Suomen [MASK] jakoi maakunnan tieteelle ja taiteelle apurahoja yhteensä lähes 900 000 euroa .	Kulttuurirahasto
Professori [MASK] Mäkinen sai Elias Lönnrot –mitalin ansioistaan ksylitolin löytämisessä ja suomalaisen elintarviketutkimuksen kansainvälistämisessä .	Kauko
Palkinnon ojentanut Suomen Kulttuurirahaston asiamies [MASK] Putkonen totesi Kauko Mäkisellä olleen ratkaiseva vaikutus ksylitolin voittokulkuun maailmalla .	Juhani
Myöhemmät [MASK] ovat osoittaneet ksylitolilla olevan muitakin terveyttä edistäviä vaikutuksia .	tutkimukset
[MASK] oli ideoimassa ja ohjaamassa töitä , joissa osoitettiin , että ehkäistäessä kariesta fluorilla ksylitolista saadaan selvää lisähyötyä .	Hän
[MASK] on luennoinut ksylitolista ympäri maailmaa , ja esimerkiksi Koreassa ja Japanissa ksylitoli on jo toistakymmentä vuotta ollut yhtä tunnettu kuin Suomessa .	Mäkinen
Maakunnallisesti merkittäväksi hankkeeksi [MASK] oli tänä vuonna valinnut Kuninkaantien muusikoiden toiminnan .	rahasto
[MASK] tukee barokkiorkesteria ja kuoroa 30 000 euron apurahalla .	Rahasto
– Monet johtavat [MASK] , kuten vuorineuvos Heikki Huhtamäki , ovat tukeneet voimakkaasti kansallista kulttuuria ja ajatelleet tuotantotoiminnan olevan ensi sijassa yhteiskunnan palvelemista , totesi Teräs .	elintarviketehtailijat
Kreikan [MASK] luo uusia sääntöjä EU:lle	apupaketti
Keskusteluun osallistunut eurokansanedustaja [MASK] Itälä ( Kok. , EPP ) sanoi Kreikan tilanteen hallitsevan koko Euroopan politiikkaa .	Ville
Professori [MASK] Liuhto Turun kauppakorkeakoulusta kertoi näkevänsä Kansainvälisen valuuttarahaston ( IMF ) puuttumisen Kreikan tilanteeseen välttämättömyytenä .	Kari
[MASK] nosti Kreikan tapauksen yhteydessä esille kysymyksen siitä , miten Euroopan unionissa yleisesti sanktioidaan pelisääntöjen rikkomisesta .	Liuhto
[MASK] toivoi myös , että Kreikan kriisi ja muun EU:n suhtautuminen eivät ylibyrokratialla halvaannuttaisi esimerkiksi EMU-jäsenyyttä haikailevien Baltian maiden mahdollisuutta liittyä rahaliittoon .	Hän
Dosentti [MASK] Lehti toi keskustelussa esiin EU:n poliittisen legitimiteetin .	Marko
[MASK] ja mielenosoituksen kaduilla tulevat lisääntymään isoveli−pikkuveli -asetelmassa .	Levottomuudet
Dosentti [MASK] Elo vahvisti , että talouskriisit voivat muuttua poliittisiksi kriiseiksi .	Kimmo
[MASK] näkivät Lissabonin sopimuksen mahdollisuutena demokratian ja parlamentarismin vahvistamiselle legitimiteettiongelmissa .	Panelistit
− [MASK] saattaa kyseenalaistua , mikä on jäänyt keskustelussa liian vähälle huomiolle .	Legitimiteetti
[MASK] mainitsi ongelmana myös eriaikaisuuden Euroopan unionin rakenteiden kehittymissä .	Elo
Toisaalta yhteiset [MASK] laahaavat jäljessä .	pelisäännöt
Koneen [MASK] jakoi yli miljoona euroa suomalaisten yliopistojen ja tutkimuslaitosten biodiversiteettiä tutkiville hankkeille .	Säätiö
Hankkeista [MASK] toimii Turun yliopistossa .	neljä
Professori Risto Kalliolan johtama keräilytalouden ekologisia ja sosiaalisia vuorovaikutuksia ja biodiversiteettivarojen ylikäyttöä Amazoniassa tutkiva [MASK] saa 199 200 euroa .	hanke
Dosentti Kai Ruohomäen hanke [MASK] of forest diversity on ecosystem functioning : an experimental approach saa 154 502 euroa ja dosentti Ilari E. Sääksjärven johtama Biodiversity and multiple trophic interactions ? hanke 198 058 euroa .	Effects
Turun yliopiston biodiversiteettitutkimuksen professori [MASK] Niemelä iloitsee Koneen säätiön rahoituspäätöksistä .	Pekka
- Näin hyvä [MASK] Koneen Säätiön biodiversiteetutkimuksen rahoitushaussa alleviivaa alan tutkimuksen vahvuutta Turun yliopistossa .	menestys
[MASK] rahoitetuista hankkeista kytkeytyy lisäksi vahvasti yliopiston strategiseen vahvuusalaan , ekologisten vuorovaikutusten ja ekologisen genetiikan tutkimukseen , Niemelä sanoo .	Kolme
Koneen [MASK] järjestää lähes vuosittain suunnattuja hankehakuja , joiden tarkoituksena on edistää monitieteisiä tutkimushankkeita sekä kiinnittää huomiota ajankohtaisiin ilmiöihin suomalaisen tieteen ja kulttuurin kentällä .	Säätiö
Turun yliopiston [MASK] on saavuttanut merkittävän virstanpylvään : lahjoituksen hyvään tarkoitukseen on tehnyt jo yli tuhat henkilöä , yritystä , järjestöä ja yhdistystä .	varainkeräyskampanja
- [MASK] on nyt päässyt hyvään vauhtiin ja lahjoittajien määrä kasvaa koko ajan .	Keräys
Turun [MASK] tuottaa eri alojen asiantuntijoita ja tutkimusta yhteiskunnan jokaiselle sektorille .	yliopiston
[MASK] osallistui Turun yliopiston 1920-luvun perustamiskeräykseen , Saalas sanoo .	Isoisäni
[MASK] antaa 2,5-kertaisen sijoituksen yksityisiltä saatujen lahjoitusten päälle .	Valtio
Turun yliopiston kansatieteen [MASK] järjesti vapun aatonaattona tilaisuuden , jossa julkistettiin kaksi oppiaineen uutta julkaisua sekä jaettiin Ilmar Talve -palkinto .	oppiaine
Professori [MASK] Leimu on soveltanut opettajansa Ilmar Talven oppeja ja ajatuksia teoksessaan Kansatiede ja Euroopan kansat .	Pekka
Kirjaa esitellessään [MASK] viittasi Talven 1960-luvulla esittämiin ajatuksiin Euroopan kansojen jakautumisesta läntiseen ja itäiseen kulttuuriin .	hän
Talven määrittelyjen mukaan [MASK] suomalaisista kuuluu läntiseen kulttuuriin , joskin maan itäosan ortodoksisilla alueilla kulttuuri-identiteetti on itäinen .	valtaosa
Kirjassaan [MASK] matkailee Euroopan halki tarkastellen kansankulttuurien piirteitä edellä mainitussa viitekehyksessä ja ennen muuta suomalaisesta ja ruotsalaisesta näkökulmasta käsin .	Leimu
Assistentti [MASK] Lehtonen on kirjoittanut vuonna 2000 julkaistun gradunsa ja valmistumassa olevan väitöstutkimuksensa aineiston pohjalta myymäläautojen historiaa ja niihin liittyvää kulttuuriperinnettä esittelevän kirjan Viettelyksen vaunu .	Jussi
Kirjan [MASK] perustuu suurelta osin myymäläautoissa palvelleiden henkilöiden ja heidän asiakkaidensa haastatteluihin ja kertomuksiin .	aineisto
[MASK] vie lukijansa moniin nostalgisiin muistoihin , joissa myymäläauton saapuminen kylätien risteykseen herätti arkisen juhlahetken .	Kirja
Myymäläautojen " [MASK] ja tuho " liittyvät Lehtosen mukaan kiinteästi Suomessa tapahtuneeseen suureen murrokseen , jonka keskeisiä piirteitä ovat elinkeinorakenteen muutos , maaltapako ja autoistuminen .	nousu
Kansatieteen [MASK] jakoi ensimmäistä kertaa Ilmar Talvelle omistetun palkinnon .	oppiaine
[MASK] tarkastelee kinky-bileitä omana alakulttuurinaan sekä yhteisöllisyyden että arjesta irtautumisen näkökulmista .	Työ
[MASK] lukee kinkyn piiriin fetisismin , sadomasokismin , trans-pukeutumisen ja muut " normaalista " poikkeavat seksuaalisuuden muodot .	Pohtinen
[MASK] osallistui paikallisen kinky-klubin tilaisuuteen ja havainnoi tapahtumia .	Pohtinen
Kolme vuotta sitten edesmennyt professori [MASK] olisi epäilemättä tervehtinyt ilolla raadin ennakkoluulottomuutta hänen ensimmäistä nimikkopalkintoaan valittaessa .	Talve
Humanistinen [MASK] valitsi vuoden 2009 humanistitohtorin ja humanistiteon	tiedekunta
− [MASK] elävät voimakkaassa muutoksessa , mutta perustehtävät pysyvät keskeisinä .	Yliopistot
− Tämä [MASK] on suuntautunut viestimään meistä ulospäin .	tilaisuus
Humanistisen tiedekunnan tilaisuudessa julkistetut humanistitohtorin ja humanistiteon [MASK] liittyvät osaltaan siihen , miten tiedekunnan kasvatit ja tutkimus näkyvät yhteiskunnassa .	kunniamaininnat
[MASK] Carlson toivoo , että humanistit eivät olisi erillään liike-elämästä .	Anna-Riikka
[MASK] on valmistunut maisteriksi Turun yliopistosta ja perustanut vuonna 2003 oman kustantamon .	Carlson
− [MASK] on osoittanut toiminnallaan suurta rohkeutta ja näyttänyt mallia siitä , mihin määrätietoinen nuori humanisti voi pystyä , totesi vuoden humanistiteon valintaperusteet ja Carlsonin esitellyt dekaani Hiltunen .	Hän
− [MASK] on tarjonnut kustannusväylän myös monelle Turun yliopiston kasvatille .	Avain
Humanismin yhteiskunnalliseen merkittävyyteen liittyen [MASK] toivoi , että humanistit eivät olisi niin erillään talous- ja liike-elämästä .	Carlson
[MASK] Sihvonen kiitteli erityisesti humanistisen tiedekunnan laajoja ainevalintamahdollisuuksia sekä väitöskirjatyönsä osalta vanhempien tutkijoiden innostavaa esimerkkiä .	Tanja
− Me [MASK] usein koemme , että tuomme raakaan talouselämään jotain pehmeämpää tai vastavirtaa , vaikka vastavirran ja pehmeämpien arvojen pitäisi olla jatkuvasti limittäin ja lomittain mukana kovassakin työelämässä .	humanistit
[MASK] tulevat olemassa oleviksi vasta vuorovaikutuksessa käyttäjiensä kanssa , sanoi vuoden humanistitohtorin valinnan tehnyt emeritusprofessori Reino Kero .	Kulttuurintuotteet
Suomen Akatemian [MASK] valitsivat uudet akatemiatutkijat seuraavaksi viisivuotiskaudeksi .	toimikunnat
[MASK] tarjoaa tutkijoille mahdollisuuden pätevöityä täysipäiväisesti ylimpiin tutkijatehtäviin tai muihin asiantuntijatehtäviin .	Akatemiatutkijuus
Työhön saatava [MASK] kattaa tutkijan palkan ja valituilla on mahdollisuus hakea myös tutkimuskulurahoitusta .	rahoitus
