С 2012 года центр [MASK] также вопросом об освещении изменения климата .	занимается
Но при всей нелепости формулировки статья [MASK] куда более серьезный дефект .	содержит
Одновременно с рассматриваемым законом Дума [MASK] другой - против пропаганды нетрадиционных сексуальных отношений среди несовершеннолетних .	приняла
Благодаря ее неустанным трудам Россия все сильнее [MASK] здравый смысл и все дальше выламывается из рамок европейской цивилизации .	попирает
С другой стороны - со стороны общества - [MASK] место дозревание движения , которое началось в 1956 году и которое с самого начала содержало в себе серьезный рабочий компонент .	имело
Позже , в 1970 году , мы [MASK] дело с восстанием рабочих в Гданьске и других городах Побережья , которых никто не поддержал , которые остались в одиночестве .	имели
Превращение Польши в национально и религиозно монолитную страну [MASK] невозможность настраивать одни группы польских граждан против других при помощи националистических и религиозных лозунгов .	означало
В Польше люди , выступавшие против власти , [MASK] себя " демократической оппозицией " .	именовали
А как вы [MASK] ситуацию в России ?	видите
Именно поэтому раз за разом [MASK] один и тот же прием : когда речь заходит о неприятном , но известном человеке , делает вид , что такого не знает .	повторяет
Чем , по мысли главы государства , [MASK] ничтожность оппонентов .	демонстрирует
И вот , исходя из ненависти к одним и глубокого презрения к другим , Путин [MASK] решение о проведении досрочных выборов мэра Москвы .	принял
И все страны догоняющей модернизации [MASK] лидеров , двигаясь по собственной траектории .	догоняют
Допустим , два исследователя [MASK] статьи : один - хорошие , другой - плохие .	пишут
Зависимость от особенностей исторического пути [MASK] нас в своих объятиях далеко не так сильно , как культура .	держит
Она , как правило , " [MASK] людей на волю " по мере того как меняются поколения .	отпускает
Просто на данном этапе развития общество [MASK] актуальными иные проблемы .	считает
Однако эти консерваторы редко [MASK] поддержку широких масс .	получают
Иными словами , поворот исторического пути [MASK] то , что повернулась иначе и сама проблема .	обусловил
В общем , зависимость от исторического пути чрезвычайно серьезно [MASK] ход модернизации в данный конкретный момент , но не может , в отличие от культуры , приостановить развитие .	определяет
Потому что это [MASK] не только теоретическое , но и практическое значение .	имеет
Этот пример образно [MASK] различие культур .	иллюстрирует
Именно он , как представляется , в наибольшей степени [MASK] существующее положение дел .	отражает
Однако " проблема колеи " не [MASK] проблему осуществления модернизации такой уж неразрешимой .	делает
Некоторые люди порой [MASK] модернизацию и вестернизацию , причем представителей теории модернизации обвиняют в том , что они не признают национальных отличий и всех стригут под одну гребенку .	путают
В зависимости от плотин , возведенных на ее пути , [MASK] водохранилище или пойдет по какому-нибудь боковому руслу , порой искусственному .	образует
Впрочем , своенравие реки иногда [MASK] с нами злую шутку .	играет
Или , напротив , [MASK] неожиданные ресурсы , которые могут ускорить движение .	обнаруживаем
А зависимость от пути объективно [MASK] модификацию траектории : мы , может , и не хотим поворота , но вынуждены завернуть под воздействием обстоятельств .	обуславливает
В худшем случае [MASK] войну , которую навяжет тебе удачливый соперник .	проиграешь
И возможно , [MASK] свой путь .	удлиняем
К 10 августа советские войска [MASK] оборону на внешнем обводе Сталинграда .	заняли
Прорыв немцев к реке [MASK] шок как у командующего фронтом генерала Андрея Еременко , так и в Москве .	вызвал
23 августа 1942 года немецкая авиация [MASK] город на Волге массированной бомбардировке .	подвергла
Но не все [MASK] такую решимость и твердость духа .	сохраняли
Большие потери , трудности с пополнением и подвозом припасов через Волгу под обстрелом врага [MASK] тяжелое влияние на моральное состояние войск .	оказывали
Заградотряды сталинградского направления в августе - сентябре [MASK] десятки тысяч бойцов , сбежавших с передовой .	задержали
Только из огородов [MASK] картошку и этим питались … "	рыли
Как и всякий фронтовик , я , пожалуй , [MASK] дар речи : я привык выражать свои чувства штыком , гранатой , бомбой … "	потерял
Какое-то время большое количество перебежчиков [MASK] в немцев неоправданный оптимизм .	вселяло
Во второй половине сентября Жуков [MASK] новое отвлекающее наступление на северный фланг армии Паулюса с тем же результатом , что и в первый раз .	организовал
Задача , стоявшая перед Паулюсом , [MASK] прежде всего идеологическое значение .	имела
Со своей стороны , советская пропаганда всячески [MASK] ненависть к врагу среди красноармейцев .	нагнетала
14 октября Паулюс , собрав все имеющиеся в резерве силы , при мощной поддержке авиации [MASK] новое наступление в городе .	начал
15 октября немцы все же [MASK] тракторный завод , прорвались к Волге и разрезали 62-ю армию пополам .	захватили
В октябре Донской фронт генерала Константина Рокоссовского , развернутый к северу от армии Паулюса , в очередной раз [MASK] наступление с целью отвлечь немецкие части от города .	начал
Взвод ( 20 - 40 чел. ) , в котором осталось только четверо бойцов , [MASK] все боеприпасы .	израсходовал
" Каждый солдат [MASK] себя обреченным … "	считает
Советская авиация , избегавшая " мессершмитов " днем , [MASK] по немецким позициям жестокие удары ночью .	наносила
Красная армия значительно [MASK] вермахт в людских и материальных ресурсах .	превосходила
По приказу фюрера люфтваффе [MASK] воздушный мост для доставки продовольствия , боеприпасов и горючего в Сталинград .	организовало
В штабе Донского фронта сильно [MASK] силы противника .	недооценивали
С этой целью [MASK] специальную группу армий " Дон " во главе с фельдмаршалом Эрихом фон Манштейном .	создали
Страдания мирных жителей [MASK] гнетущее впечатление даже на немцев .	производили
8 января советское командование [MASK] Паулюсу ультиматум с требованием капитулировать во избежание бессмысленных потерь .	предъявило
Стойкость 6-й армии для германского командования [MASK] огромное значение .	имела
Генерал Ганс - Валентин Хубе [MASK] до сведения Паулюса стратегические соображения Гитлера : " 6-я армия должна сковывать крупные силы русских , чтобы дать возможность перестроить южный участок восточного фронта " .	доносил
И все же 6-я армия , учитывая физическое состояние ее солдат и нехватку техники и боеприпасов , [MASK] удивительно стойкое сопротивление .	оказала
Лица изможденных людей [MASK] зеленовато - желтый оттенок .	приобрели
По свидетельству доктора Ахлейтнера , в немецком госпитале груды замерзших трупов и чадящие керосиновые лампы [MASK] сходство с преисподней .	создавали
Когда кто-то умирал , паразиты немедленно [MASK] мертвое тело и искали живую плоть .	покидали
Позднее Платон несколько [MASK] это объяснение , утверждая , что боль , образующаяся в сердце или печени , при взаимодействии определенных атомов тела между собой отражает эмоциональное состояние человека .	расширил
Как правило , острая боль [MASK] у пострадавшего немедленное желание изменить положение тела для устранения источника поражения или уменьшения силы его воздействия .	вызывает
Для снятия симптомов боли хронической медики помимо традиционных анальгетиков [MASK] также и антидепрессанты .	используют
Фантомные боли в ряду хронических физических заболеваний [MASK] особое место .	занимают
И лишь со временем фантомная конечность [MASK] в сознании отчетливость , а боли утихают до полного их исчезновения .	теряет
Воротная теория боли [MASK] ученых - медиков на мысль о стимуляции задних столбов спинного мозга , которая приводит к активации антиноцицептивной системы .	навела
Вскоре и другой американский врач - стоматолог , У. Мортон , экспериментировавший с эфиром как средством усыпления животных , [MASK] его при удалении зуба .	применил
До этого же момента хирурги для обезболивания [MASK] алкоголь , морфин и другие опиаты .	использовали
Современная медицина для общего наркоза [MASK] смеси газов и препараты для внутривенного введения , включающие анальгетики , лекарственные вещества , расслабляющие мускулатуру , и снотворные препараты .	использует
Нередко для усиления эффекта наряду с этими газами [MASK] и закись азота .	применяют
У больных же с двойной анестезией местные анестетики [MASK] проведение нервных импульсов .	блокировали
Наиболее часто для снятия боли врачи [MASK] ненаркотические анальгетики .	назначают
Все наркотические анальгетики [MASK] привыкание и зависимость , поэтому их применение должно быть строго ограничено .	вызывают
Случай с французским министром Жеромом Каюзаком , который после разоблачения лжи насчет отсутствия зарубежного банковского счета стал политическим трупом ( от него отвернулась даже родная соц партия ) , [MASK] меня на сравнение с нашей страной .	навел
Однажды император Николай I [MASK] шефа жандармов Бенкендорфа предоставить сведения о том , кто из губернаторов не берет взяток с винных откупщиков , что было практически узаконенной формой поборов .	попросил
Главным образом громкие коррупционные дела перестроечных лет [MASK] отставных номенклатурщиков .	затрагивали
Лишая депутатов и чиновников возможности иметь зарубежные счета и недвижимость , он [MASK] советскую ситуацию , тесно привязывая их к себе и выводя из-под " тлетворного " западного влияния .	возвращает
За сто лет экономика [MASK] такие радикальные трансформации , что оценки ее требуют других точек отсчета .	пережила
Упор на образы , привлекающие внимание и возбуждающие эмоции , [MASK] другую экономику .	создает
Аналитики другой группы , давая практически ту же оценку стоимости этого бренда , [MASK] его лишь на шестое место в рейтинге , а самым ценным брендом признали Apple .	поставили
Вопреки распространенному мифу о новой экономике именно дешевые и необеспеченные кредиты [MASK] инвестиционный и потребительский бум .	породили
Виртуализация производства , организации и денег [MASK] экономику , базовые элементы которой - образ , сеть и доступ .	сформировала
А электронные масс-медиа , радио и телевидение [MASK] это хорошо .	делают
Радио и телевидение не только [MASK] чужие бренды , но и создают свои : образы популярных ведущих и персонажей программ , становятся зонтичными брендами для товаров , от книг и компакт-дисков до линий косметики и одежды .	продвигают
Успешно транслируя образы , электронные масс-медиа [MASK] сети , связывая массы рассеянных в пространстве людей общими интересами и общими смыслами .	формируют
В 1981 году компания IBM [MASK] компьютер , задавший технологический стандарт PC , и через 10 лет в США было уже 200 компьютеров на 1000 человек , а еще через 10 лет - 600 на 1000 .	выпустила
Компьютерные мультимедиа до сих пор не [MASK] традиционные .	вытеснили
Например , финансовые аналитики с середины 1990-х годов [MASK] термин glamour для обозначения стратегии оперирования активами исходя не из их долгосрочной доходности , а из их модности .	используют
Любые топ-листы , номинации , рейтинги , хит-парады и т. п. [MASK] всему включенному в них существенность и значимость .	придают
В конструирование гламура из большой пятерки и при помощи горячей десятки и в его экспансию сейчас [MASK] вклад не только звезды поп-культуры и потребители , стремящиеся быть пресловутыми блондинками и метросексуалами .	вносят
Господа законодатели , вы [MASK] богов реально существующими персонами ?	признаете
Кто и как будет в суде [MASK] факт " оскорбления чувств " ?	устанавливать
Ведь , невзирая на то , что Конституция в статье 19 вводит равенство прав и свобод человека и гражданина вне зависимости от убеждений и отношения к религии , законопроект [MASK] верующих в привилегированное положение перед неверующими , вводя особую защиту для их чувств и убеждений .	ставит
Другой ученый - Владимир Демихов - в эксперименте [MASK] практически все виды трансплантаций : первая в мире пересадка сердца в грудную полость , первая в мире пересадка комплекса " сердце - легкие " , изолированного легкого , печени и даже пересадка второй головы собаке .	выполнил
Количество больных , не дождавшихся операции , [MASK] показатель летальности в листе ожидания .	составляет
Тем не менее одна из наших пациенток после пересадки печени [MASK] прекрасного малыша , окончила аспирантуру , серьезно занимается спортом , преподает .	родила
Если в России пациент умрет по ошибке врача , доктору как минимум [MASK] выговор , но могут и посадить .	объявят
Как результат - эта страна давно [MASK] нас по количеству трансплантаций .	обогнала
И если в обычной ситуации смерть человека констатирует лечащий врач , реаниматолог , то в этом случае [MASK] целый консилиум .	собирают
Люди , которые не имеют медицинского образования , часто [MASK] такие проявления как признаки жизни , говорят , что мы изымаем органы у живого человека .	трактуют
А когда у человека есть все возможности проявить себя свободно в разных областях жизни - то государство [MASK] свою главную задачу .	выполняет
Ведь наше государство в разные периоды своей истории жестоко [MASK] и права отдельных людей , и права целых человеческих сообществ .	нарушало
Но никто не [MASK] американцев обнажать свои преступления в отношении негров и индейцев .	заставлял
В условиях , когда , казалось бы , никого уже не возбуждает такой скучный общественный институт , как муниципальные выборы , Жуковский [MASK] совершенно новую постановку на этот заезженный сюжет - укрощение строптивого наукограда .	предлагает
На выборах в Госдуму опять же [MASK] " Единой России " провал - всего каких-то 19 % она набрала .	устроили
А потом - [MASK] разнос мэру Бобовникову и укатил в авторитетнейшую газету " Жуковские вести " на переговоры .	устроил
Завершив операцию , начатую Шойгу , Воробьев [MASK] себя в очень сложное положение .	поставил
В частности , сейчас " Жуковские вести " и лично их редактор Знаменская [MASK] в городе идею " Народного совета " .	запустили
Ведь , признаемся , будь последние всероссийские выборы стерильными - все равно россияне [MASK] бы Путина .	выбрали
Равно как и Астрахань , если бы процессом никто не дирижировал , [MASK] бы себе Шеина в мэры .	выбрала
Царственного вида лестница , обрамленная тяжелыми коваными перилами , [MASK] отобедавших посетителей куда-то наверх , где кроется неведомое .	манит
Хотя конкретно этому кандидату жизнь [MASK] кучу поводов для разочарования .	предоставила
Какой вопрос здесь [MASK] историю ?	занимает
Крушение мировой социалистической системы [MASK] многих усомниться .	заставило
Оксфордский философский словарь [MASK] капитализм как " современную , базирующуюся на рынке экономическую систему производства товаров , контролируемую " капиталом " .	определяет
Узконаправленные усилия по изучению наследия Маркса , дополненные недоступностью многих других источников , [MASK] глубочайшие следы во всей умственной культуре страны .	оставили
Ментальность множества образованных и полуобразованных людей не просто [MASK] влияние , но была действительно преобразована марксистской доктриной .	испытала
Тем более в СССР марксизм , границы которого едва ли не совпадали с границами культуры как таковой , [MASK] множество разнообразных форм и обликов .	принимал
Ну а эти преподаватели [MASK] себе достойную смену .	готовили
В России подобные размышления [MASK] всемирно известного ученого , академика Никиту Моисеева выдвинуть лозунг " экологического социализма " .	побудили
А эти стремления [MASK] собой фундаментальные атрибуты даже не человечества , а всей живой материи как таковой .	представляют
Конечно , социализм советского типа серьезно [MASK] эту идею , но никакая дискредитация не является для нее смертельной .	дискредитировал
С давних времен левые мыслители [MASK] утешительные для себя факты в возрастании роли государства в экономике капиталистических стран .	ищут
Прежде всего , государство во все времена [MASK] важное значение в экономике .	имело
Или , по крайней мере , его существование [MASK] " мерцающий " характер , в одной и той же стране он то появлялся , то исчезал .	имело
Но прямые экстраполяции всегда [MASK] сомнительный метод прогнозирования , а в данном вопросе , пожалуй , нет материала даже и для экстраполяции .	представляют
В государственном регулировании экономики мы [MASK] очень разнонаправленные тенденции - а именно чередование периодов усиления и ослабления роли государства .	видим
Всемирный финансовый кризис 2007 - 2009 годов несомненно [MASK] политиков во всех странах мира вмешиваться в экономику и создавать новые контуры регулирования .	мотивировал
Поэтому кризис несомненно [MASK] новые " госпланы " , неэффективность которых придется констатировать в будущем .	породит
Или функции капитала [MASK] его субстанцию .	преодолеют
Подобный подход уже неоднократно [MASK] возможность некоторым авторам считать , что нынешнее постиндустриальное общество уже является посткапиталистическим .	давал
Дарендорф , считающийся автором термина " посткапитализм " , [MASK] это свое мнение тем , что сегодня утратили былое значение классические конфликты буржуазии с пролетариатом , уступив место более важным конфликтам в политической сфере .	мотивирует
На Западе далеко не все [MASK] это влияние .	признают
Получившее " литературное освящение " в хрестоматийном романе Чернышевского , кооперативное движение [MASK] " высшую политическую санкцию " в " кооперативном плане " Ленина .	нашло
И опять мы здесь [MASK] ограничение степени свободы без какой-либо компенсации .	видим
Кстати , многие левые авторы как раз и [MASK] в многообразии форм собственности доказательство социалистических перспектив человечества .	видят
И в силу этого [MASK] компромиссные требования .	выдвигают
Среди всех известных истории хозяйственных систем именно рыночная экономика наилучшим образом [MASK] проблему трудовой мотивации .	решила
Еще Оскар Уайльд в начале XX века [MASK] надежду , что социализм позволит всем людям , не заботясь о хлебе насущном , выражать себя в искусстве .	выражал
Именно с точки зрения поиска альтернативы рыночной мотивации идея доминирования творческого труда [MASK] очень важное значение .	имеет
А представления эти во многом [MASK] собой идеологию нарождавшегося и осознававшего свою автономию сословия представителей творческих профессий .	представляли
Научная фантастика , как известно , [MASK] и такие пессимистические сценарии , в которых вытеснение рутинного , малоинтеллектуального и тяжелого труда часто сопровождается вытеснением человека из сферы труда вообще .	предлагает
Теория постиндустриальной экономики [MASK] еще один ряд идей по преодолению рыночного обмена , связанных со спецификой информационной экономики .	порождает
Всемирная сетевая энциклопедия , ставшая к настоящему моменту важнейшим элементом информационной инфраструктуры и при этом базирующаяся на бесплатном труде волонтеров , настолько [MASK] социальных аналитиков , что сегодня в Википедии зачастую видят прообраз нового экономического строя .	поразила
Профессор Пермского госуниверситета Владимир Орлов [MASK] гипотезу , что в будущем на место рыночной стоимости придет некая " информационная емкость продукта " , определять которую будут уже не стихийно , а в плановом порядке .	выдвигает
Если бы не существовало механизма рыночного возмещения инвестиций , то такое дорогостоящее информационное производство , как кинематограф , скорее всего просто [MASK] бы свое существование , ограничившись небольшим сектором авторского кино .	прекратило
Профессор Высшей школы экономики Александр Долгин [MASK] подробную теорию , как вся мировая экономика могла бы перейти на принципы благодарственной оплаты .	разработал
Концепция " сетевого общества " [MASK] надежды , что индивиды могут легко и быстро по своему собственному почину создавать организации , не идя " на поклон " за организационным ресурсом к сложившимся структурам традиционного типа .	дает
Именно скорость изменений [MASK] традиционные структуры , в том числе корпорации , заставляя общество искать систему мгновенной перестройки структур под новые задачи .	дестабилизирует
Астрофизик Александр Панов [MASK] предположение , что финансирование науки будет постепенно свертываться , поскольку стоимость научного открытия будет обгонять рост производительных сил , что вызовет разочарование общества в науке .	высказал
Хотя машины действительно облегчают человеческий труд , но они ни в коем случае не [MASK] человека от труда , а по некоторым наблюдениям , трудовая деятельность охватывает западную цивилизацию все сильнее , оставляя для праздности все меньше времени .	освобождают
Однако трансгуманисты и фантасты [MASK] надежды , что биотехнологии смогут изменить человека , сделать , например , его гораздо умнее или создать симбиоз человека и компьютера .	высказывают
В конце марта 1942 года я [MASK] увольнительную и решил навестить нашу квартиру .	получил
У Невы женщины [MASK] воду из проруби .	добывали
Поля этой зимой уже [MASK] большую часть мебели из всей квартиры .	стопила
Ударная волна снарядов и бомб в конце концов [MASK] стекло .	выбивала
Из ниток ( их выдергивали из одежды ) [MASK] фитиль .	скручивали
Древний этот аппарат все-таки [MASK] уют пещерной блокадной обстановке .	придавал
Невероятными усилиями воскресшие люди весной [MASK] город от трупов , от нечистот .	очищали
Для " Блокадной книги " мы с Адамовичем прежде всего [MASK] дневники блокадников .	искали
Блокадники , которых мы записывали , [MASK] свою жизнь спустя тридцать с лишним лет .	вспоминали
Большой террор , репрессии [MASK] питерцев вести дневники .	отучили
Каждый дневник по-своему [MASK] трагедию города .	осмысливает
Министр культуры Владимир Мединский [MASK] основную задачу " культурного года " предельно просто : " Надо превратить загнанного в угол " бюджетополучателя " в элемент экономики " .	формулирует
Среди элементов культурной политики государства эксперты [MASK] распределение грантов и премий , систему занятости и создания рабочих мест в сфере культуры , создание культурной инфраструктуры , формирование законодательной и нормативной базы .	выделяют
Когда он призывает экспертов и членов разнообразных общественных советов определять , какие культурные проекты и направления финансировать , он [MASK] в жизнь концепцию " вытянутой руки " .	проводит
Но кавалерийская атака на авторитетные центры фундаментальной науки [MASK] настоящий бунт в научной среде , гасить который пришлось Владимиру Толстому , нынешнему советнику президента по культуре и искусству .	вызвала
Вместо концепции культурной политики министр [MASK] нас ее любопытными фрагментами .	снабжает
А когда он справится с этой задачей , то [MASK] место тому , кто сможет спокойно пожинать плоды его трудов .	уступит
Участвуя в десятках совещаний по решению самых различных , в том числе и не " чисто культурных " проблем , Владимир Толстой [MASK] ценный опыт культурного администрирования .	приобретает
Помимо разнообразной деятельности в Общественной палате Пожигайло [MASK] различные культурные и околокультурные проекты ( памятник Столыпину , монумент солдатам Первой мировой войны , Хоровое общество и др ) .	инициирует
На том же " почвенническом " поле давно уже [MASK] свои культурные плоды Никита Михалков .	взращивает
С торца он [MASK] отдельный вход в помещение , где и располагался фельдшерский пункт .	имел
Благодаря этому обстоятельству , а также учитывая тот факт , что к физическому труду парень не годен , отец [MASK] его в управление сначала сторожем , а потом он вырос и до помощника писаря .	устроил
Короче говоря , [MASK] бланк паспорта , это ведь документ строгой отчетности .	испортишь
В 1906 году я [MASK] вступительные экзамены и был зачислен в фельдшерскую школу города Курска .	сдал
На конспиративных квартирах я [MASK] кружок эсдеков .	посещал
Один мой старший товарищ , по фамилии Черневский , из озорства [MASK] листовку городовому , дежурившему возле банка , за шиворот тулупа .	засунул
Когда я вышел в коридор , он [MASK] мне почтовый конверт с адресом на мое имя и сказал , что директор велел вам его передать , так как письмо пришло на адрес школы .	вручил
Мы тогда на двоих [MASK] комнату в центре города .	снимали
Убедившись в негодности своего плана , мы [MASK] несчастное животное и побрели в пургу , надеясь , можно сказать , на авось .	оставили
Но совсем низко мы время от времени [MASK] свет большой зеленоватой звезды , на которую и решили ориентироваться .	видели
За два года работы в отделении я [MASK] свои познания в области практической медицины , приобрел новых знакомых из числа медиков , и , когда представилась возможность , я перешел на работу в собственно губернскую больницу , где условия работы были легче .	расширил
Поначалу собеседницы терпеливо [MASK] чужие сетования , ожидая своей очереди излить душу .	выслушивают
Если члены семьи кликуши заметили ее в этом состоянии , они [MASK] ее домой , и она послушно идет с ними , что потом зачастую приводит к заражению этим психическим расстройством и других особ женского пола данного семейства , но не обязательно всех .	ведут
И если это происходит во время посевной или уборочной , то эпидемия [MASK] под угрозу судьбу урожая в данной местности .	ставит
Но теплый прием , который оказали мне товарищи , приехавшие ранее меня , быстро [MASK] это ощущение .	нивелировал
И вот в этой самой столовой я совершенно для себя неожиданно [MASK] Шурочку , которая тоже приехала поступать в университет с тремя подругами .	встретил
Для поступления я [MASK] свой очередной отпуск , и , когда он подходил к концу , я , сдав несколько экзаменов , тронулся в обратный путь .	использовал
