Здесь [MASK] несколько десятков видов птиц .	обитает
[MASK] какое-то - достаточно долгое время - из кабины , с чемоданчиками , очень напоминавшими тот , солдатский , - вышел экипаж .	Прошло
Смущенные , красные , будто их застигли за чем-то неприличным , торопливо [MASK] они по проходу .	прошли
[MASK] еще какое-то время , в самолете становилось невыносимо душно .	Прошло
После того как на его глазах отлетела душа , не [MASK] Монахов .	мог
Человек умер , - [MASK] Монахов .	сказал
[MASK] Монахов , слаб , но и не так слаб - никакого стыда не испытывает теперь он , и это ему как-то странно .	Слаб
У турникета перед выходом на летное поле [MASK] примелькавшиеся пассажиры с его рейса нерасстающейся кучей .	стояли
Такой давки не [MASK] Монахов с младенчества , с военных пор .	помнил
Куда же вы ? [MASK] последний писк стюардессы .	утонул
[MASK] же мы …	Куда
Перед тем как нырнуть окончательно в самолетное чрево , [MASK] он увидеть через плечо прорвавшуюся через все преграды Наталью , бегущую по полю .	мог
По радио [MASK] объявления по-английски и хинди - узбеки крутили головами и смеялись .	шли
В этом [MASK] что-то оскорбительное - казалось , они ленились примениться к обстоятельствам .	было
" Ловко , однако , ловко [MASK] , задремывая , Монахов .	думал
Не [MASK] же , и впрямь , лететь тот же экипаж .	мог
Для этого [MASK] лишь следующая модель .	требуется
[MASK] женин поясок - она скрылась .	Мелькнул
- Как с кем ? [MASK] Монахов .	обиделся
Ему [MASK] все новая тарелка и миска ; жена , не глядя , подавала ему , раздражалась на каждое его такое медленное и неумелое движение .	требовалась
" С кем неслышно [MASK] он под нос .	бубнил
" [MASK] с кем …	Ясно
[MASK] ли с кем ?	Мало
- [MASK] жизнь , и есть мысль о жизни , абстракция .	Есть
Например , [MASK] она сейчас сказать : " А что ты хочешь ?	могла
[MASK] она сказать и так : " Тебя не было , откуда я знаю , что ты по-прежнему есть ?	Могла
Может , ты к ней поехал … " - [MASK] на два порядка вниз жена и становилась понятней и милей Монахову : все эти абстракции - обыкновенная , живая ревность , которой не чужд и самый высокий ум .	съезжала
[MASK] той кашицы , что , выходит , зря пугала его .	Никакой
" Солнце и мать - вот два источника сентиментально [MASK] Монахов .	подумал
[MASK] - то теперь было именно то , что и привлекло его к ней , а привлекательным стало то , чего он не выносил когда-то .	Невыносимым
За [MASK] была черная ночь .	окном
В другой руке , как второстепенную улику , [MASK] она книжку Зябликова .	держала
- А мне [MASK] эти стихи , - сказал он , первым делом обидевшись за Ленечку .	нравятся
- Сын соседки [MASK] он , удивляясь сам , до чего же неубедительно .	добавил
[MASK] эти стихи ! - взвился Монахов .	Мои
" А ведь я почти правду сказал [MASK] он .	усмехнулся
[MASK] ночь .	Была
Между ними [MASK] ничтожная белая граница .	пролегла
И не [MASK] слов , способных по кирпичику разобрать эту стену - рассказать ее .	было
[MASK] ему тогда лет шесть или семь , сколько именно , он толком не знал , не до того было : голод .	Было
Как будто бы [MASK] они с матерью хорошо .	жили
[MASK] всего в доме была парадная лестница - лепные потолки , узорчатые перила , а главное , огнистые разноцветные окна , сплошь в красных цветах и зеленых листьях .	Лучше
Иногда по лестнице [MASK] красавица девочка с желтыми косами , в красной шубке , красных чулках и белых ботинках .	спускалась
Летом вокруг домика [MASK] маргаритки , а зимой по сугробам прыгали красные снегири .	цвели
[MASK] мать , дергала за ручку , дверь сразу распахивалась , и ветер ударял Гарусову в щеку .	Приходила
В углу дворницкой [MASK] железная печка на четырех ногах с коленчатой черной трубой .	стояла
От смолы на пальцах [MASK] липкие пятна .	оставались
[MASK] от холода и крепкий бараний запах , и самое слово " тулуп " .	Спасали
[MASK] он свою работу и уехал на Север , строить новую жизнь , решит все вопросы и тогда уже возьмет их с матерью к себе .	Бросил
[MASK] у них было денег - только двести пятьдесят .	Мало
[MASK] его он сам ( матери не было дома ) и даже расписался каракулей в разносной книге , хотя писать не умел .	Принял
[MASK] мать , увидела письмо , вся побелела , перекосилась и давай рвать конверт , по самой марке .	Пришла
" [MASK] в них , паразитах , благодарности " , - говорила мать .	Нет
С этого же времени [MASK] мать приходить домой пьяная - не каждый день , а раза два в неделю .	стала
[MASK] она тонко , грустно и зло ; Гарусов слушал , точно нитку разматывал .	Пела
[MASK] тетя Шура управдомша : " Опомнись , Настя , парнишку - то пожалей " .	Приходила
Сначала только [MASK] ребячьи игры : мальчишки стали играть не в Испанию и Халхин-Гол , а в войну с фашистами .	изменились
Потом [MASK] затемнение , окна заклеили бумажными крестами .	пошло
На лестницах [MASK] бочки с песком , чтобы тушить зажигательные бомбы .	появились
Песок [MASK] ребята , мать на них сердилась и гоняла от бочек , а Гарусов ей помогал : раз большого мальчишку так стукнул , что тот отлетел мячиком .	растаскивали
Еще [MASK] голода был холод .	хуже
[MASK] тетя Шура управдомша , ахать не стала , поглядела на потолок , сказала : " Ремонтировать бесполезно " , - и тут же , сама от себя , решила выделить погорельцам квартиру из тех , где жильцы померли .	Прибежала
В одной из них посреди пола [MASK] мертвая кукла - наверно , погибла при бомбежке .	лежала
На один чайник [MASK] почти целая полка .	уходила
После топки [MASK] черный слоистый пепел .	оставался
Когда по карточкам давали сахар или конфеты , у матери с Гарусовым [MASK] праздник .	был
Иногда [MASK] к ним тетя Шура управдомша .	заходила
И парня твоего не [MASK] люди , спасут .	бросят
[MASK] я у тебя , понимаешь ?	Гостья
- [MASK] у меня , тетя Шура , заварочки … - отговаривалась мать .	Нет
То ли [MASK] - кипяточек , да с хлебцем , да с сахаром …	дело
- [MASK] хлеба ни пол кусочка …	Нету
" [MASK] мирное время , - решил он , - каждый день буду есть такой суп " .	Наступит
[MASK] она на них , как на мешках .	Ходила
[MASK] уже вечер , небо синее , снег тоже , мороз не особенный , можно терпеть .	Был
[MASK] он очень медленно , но сердце билось , будто бежал быстро .	Бежал
Косо [MASK] мелкий снег .	летел
Вдруг ему [MASK] : вот она , уходит по улице с кошелкой , а в кошелке хлеб .	показалось
Где набережная , [MASK] вода , а он хотел пить .	там
За толстыми каменными перилами [MASK] большие плоские льды , неровно припорошенные снегом .	лежали
В проруби [MASK] черная , маслянистая , тяжелая вода .	качалась
[MASK] он долго , пока совсем не устал .	Бежал
Улице не [MASK] конца .	было
- А с какого [MASK] депутат ?	района
На ногах у нее [MASK] большие солдатские валенки , жесткие еще , необмятые .	были
Издалека [MASK] низкий , дрожащий гул .	послышался
[MASK] он об этом днем и ночью , за едой и в бомбоубежище .	Думал
" [MASK] мой Гарусов , где мой добытчик ? "	Где
[MASK] зима .	Кончилась
[MASK] пригревать солнце , по улицам потекли грязные ручьи , и граждане , щурясь от света , вышли на тротуары скалывать лед .	Стало
В каждой теплушке [MASK] раздвижная дверь во всю стену с поперечным брусом , через который легко было вывалиться .	была
Кое-где у черных дорог [MASK] деревянные домики , а возле них бродили козы и петухи .	стояли
Гарусову [MASK] место на верхней полке у самого окошка .	досталось
Вместо больших полей кругом [MASK] горбатые горы , а на горах росли такие огромные черные ветвистые ели , что он сразу понял : все кончено , это и есть Большая земля .	поворачивались
Так [MASK] несколько дней , и вот неожиданно они приехали .	прошло
Вокруг города полукольцом [MASK] холмы , поросшие лиственницей .	лежали
Вдоль улиц , продуваемых тем же ветром , [MASK] сутулые дома с вечно закрытыми ставнями .	стояли
А в домах [MASK] хозяйки - огородницы , большие строгие женщины в шалях с бахромой .	жили
Каждое утро из железного дыма [MASK] кровавое солнце и , поднимаясь по бледному небу , становясь розовым , вещало мороз .	вставало
Строго и прямо [MASK] над городом , по одному над каждой крышей , желтые столбы дыма .	стояли
На каждом платке от дыхания [MASK] белый мех .	намерзал
[MASK] была сибирская зима - особенно для детского дома .	Страшна
[MASK] было топлива , мало еды , мало одежды .	Мало
Очень [MASK] было с валенками ( по-здешнему их называли " пимы " ) .	плохо
Особенно [MASK] у него был почерк , лучший почерк в классе , гордость учительницы .	хорош
В них еще много [MASK] свободного места , и Гарусов на нем писал .	оставалось
[MASK] он всегда одно и то же : " Настя Делянкина , Настя Делянкина " , и так - много раз , пока хватало места .	Писал
Вокруг него [MASK] своим чередом детдомовская ежедневная жизнь со своими происшествиями : кто удрал , кто украл , у кого зуб выпал …	шла
[MASK] ее в детдоме все , даже заведующая .	Боялись
[MASK] Марья Федоровна из коренных питерских рабочих и сама себя называла " пролетария всех стран " .	Происходила
В магазинах иногда [MASK] ненормированные продукты , странные , например крабы и шампанское .	появлялись
За ними [MASK] очереди , люди посмеивались : за чем стоим ?	выстраивались
В этом ночном празднестве [MASK] что-то глубоко нечестивое .	было
Время от времени [MASK] немецкие самолеты , их я не боялась , я вообще ничего не боялась , была как-то уверена , что худшее в нашей семье уже произошло и ничего больше произойти не может .	налетали
В городе [MASK] аэростаты заграждения - гигантские колбасы , днем ведомые под уздцы девушками в военной форме , а вечером поднимавшиеся сторожами в чуткое небо .	властвовали
В их пузатом спокойствии [MASK] что-то надежное : спите , люди .	было
У меня [MASK] перелом позвоночника , ноги и обеих рук .	был
Потом [MASK] промежуток полного беспамятства .	был
Первым [MASK] , которое я осознала , была непомерная тяжесть , именно тяжесть , а не боль .	ощущением
Меня [MASK] темнота , не безлично серая , а огненно - черная , что могло означать одно : я слепа .	окружала
В черноте иногда [MASK] искры , звездообразные взрывы света .	вспыхивали
Так , в глухой темноте [MASK] для меня время без времени , отмечаемое только сверканьем катящихся искр ; они появлялись через регулярные промежутки , измерить которые я не могла , знала только , что они регулярны и образуют четкий рисунчатый ритм .	шло
Вместо нее [MASK] другая , но оказалось , что это не рыба , а белая косынка медицинской сестры .	появилась
Под косынкой на бледно - желтоватом , слегка отечном лице [MASK] внимательным удивлением большие глаза .	светились
На койке [MASK] нечто белое , очень большое , что по занимаемому месту должно было быть мной , но не было , а ощущалось , как посторонняя тупая тяжесть .	лежало
Несколько позже света [MASK] возникать звук , тоже искрами , взрывами , вначале болезненными .	стал
- [MASK] я и услышала собственный голос , резкий , как крик .	Спросила
[MASK] беспамятство , чернота .	Вернулись
Ее [MASK] ненависть к гипсу , желание уничтожить уже не себя , а гипс .	заменила
Потом [MASK] появляться , вспыхивая и опять пропадая , интерес к заоконному миру .	стал
Там [MASK] ветки , падал дождь , гуляли голуби .	шевелились
Иногда меня [MASK] , скажем , яркость дождя .	поражает
[MASK] еще время , и вот я уже могла сидеть на койке , владеть руками , есть .	Прошло
[MASK] шаги , гремела посуда , появлялась санитарка в разношенных тапочках , с янтарными голыми пятками , начиналась раздача .	Шаркали
От таланта мне [MASK] только свирепая совесть , заставлявшая меня без конца упражняться , днем - на рояле , ночью - впустую , барабаня пальцами по колену , и яростное недовольство собой , а этого мало .	досталась
Как будто что-нибудь [MASK] мы все , бесполезные перед лицом того огромного , что происходило в мире …	значили
От прежних жильцов в комнате [MASK] кровать , брошенная , очевидно , за непригодностью : сетка прохудилась и кое-где была грубо стянута веревками .	оставалась
Нам [MASK] разлука : вскоре моя подруга должна была уехать к замужней дочери куда-то в Сибирь .	предстояла
Прежде [MASK] заботы : свои заботы о ком-то и чьи-то заботы о тебе .	подпирали
Слово " беззаботный " обычно [MASK] представление о счастье .	сопровождает
А на самом деле до чего [MASK] , неприкаянна жизнь без забот !	неприютна
[MASK] много времени , пока я к ней приспособилась .	Прошло
- [MASK] образование ! - спрашивали меня .	Какое
Так [MASK] несколько месяцев .	прошло
- А [MASK] такое Дом ребенка ?	что
" Популярно [MASK] " мой работодатель , инспектор по художественному воспитанию , огромный детина , рыжий до ужаса , с рыжими волосами в ноздрях .	говорил
[MASK] это вас , товарищ Флерова ?	Устраивает
[MASK] я с палочкой вроде клюки , спина согнута , мальчишки бегали за мной и кричали : " Баба-яга , костяная нога ! "	Ходила
Там [MASK] , развесив ветви , старые , дуплистые деревья , под ними ютятся покосившиеся пятнистые домики , серо-лиловые , как всякая обветренная , мытая дождями древесина .	стоят
На окнах домиков данью времени кое-где [MASK] крестообразные бумажные наклейки - наивное средство , будто бы сохранявшее стекла во время налетов , - ими очень увлекались в начале войны .	сохранились
А сейчас [MASK] начало весны - слабое , солнечное начало ; пахло землей , мокрыми ветками , будущим .	было
На деревьях целым кагалом картаво [MASK] какие-то птицы , должно быть грачи .	орали
В саду меж подтаявших , рябо почерневших сугробов парами [MASK] по дорожкам под присмотром воспитательницы очень маленькие , очень тихие дети .	ходили
Когда я подходила к дому , меня [MASK] тихий хор маленьких плачущих голосов , доносившийся из одного крыла сквозь раскрытые форточки .	поразил
У нее [MASK] нежное , полное , желтоглазое лицо , чуть оттененное пушком у выпуклых губ .	было
В сенях [MASK] батарейкой бутылочки с сероватым молоком , аккуратно заткнутые ватными тампонами .	стояли
Щелк - щелк - [MASK] счеты .	говорили
В окно [MASK] солнце .	светило
[MASK] они со своими трудностями , тьфу !	Подавись
[MASK] была эта должность , эта ставка .	Странная
В Доме ребенка [MASK] даже рояль - старенький , глубоко расстроенный , но со следами чистого , благородного тона .	имелся
[MASK] и настройщик , замшелый старик , очень словоохотливый , который все время спрашивал : " Вы меня узнаете ? " - разумея под этим : вы меня понимаете ?	Отыскался
Ничего - [MASK] заведующая , - бывает хуже .	сказала
- Все-таки что [MASK] образование , - сказала она , кончив плакать .	значит
Так [MASK] моя вторая музыкальная жизнь .	началась
Вот эту песенку [MASK] мне няня , эту - мама …	пела
[MASK] звук .	Возникал
[MASK] были мы обе !	Хороши
У этой Нюры [MASK] вообще парадоксальный характер .	был
По должности мне [MASK] питание , и я возвращалась домой с баночкой супа .	полагалось
В квартире , кроме моей , [MASK] еще четыре комнаты : в трех жили три женщины , по одной на комнату , а четвертая , запертая , пока пустовала - ее хозяева , Громовы Федор и Анфиса , были на фронте .	было
[MASK] я их всех такими , какими встретила впервые : не старыми , но и не молодыми .	Вижу
С тех пор [MASK] много лет ; конечно , мы все изменились , но я изменений не замечаю , и по-прежнему мы все не старые , но и не молодые .	прошло
Все так же [MASK] гладкие Капины волосы ( разве появились две - три сединки ) , все так же стройны ломкие Адины ноги .	черны
В комнате дальше всех от парадного входа , темнее и неказистее всех ( наверное , бывшей людской ) [MASK] Панька Зыкова , Панька - монтер , тогда и теперь монтер , должно быть , до самой смерти монтер : время ее не берет .	живет
В каждой [MASK] по вдове .	комнате
В этих словах [MASK] что-то завораживающее .	было
[MASK] много лет , и до сих пор мы вместе и все куда-то плывем на вдовьем пароходе .	Прошло
Между соседями [MASK] своеобразная родственность , отнюдь не любовная , скорее сварливая , но все же родственность .	возникает
Из-под нелепой маленькой пилотки [MASK] на щеки прямые мокрые волосы .	свисают
[MASK] она трудно и медленно , как старуха .	Идет
" [MASK] увлечения ? " ,	Каковы
Со значительным отставанием [MASK] спорт и техника .	идут
Еще [MASK] - искусство .	дальше
Очень [MASK] были ребята в самокритике .	активны
А ведь в разговоре [MASK] сотни активистов - комсомольцев , среди которых было немало ребят высокого уровня развития .	участвовали
[MASK] учительская логика .	Такова
Да , [MASK] беда .	случилась
Из нашего лексикона [MASK] многие гуманные человеческие слова .	исчезли
Здесь - то и [MASK] неформальные объединения .	образуются
[MASK] пора серьезно заняться молодежным досугом .	Настала
Мне [MASK] разговор с Василием Александровичем Сухомлинским , который состоялся в январе 1970 года .	вспоминается
А [MASK] реальность ?	какова
Одним из самых печальных наследий прошлого [MASK] репетиционная педагогика .	является
А у педагогов постепенно [MASK] комплекс - страх перед тем , что вдруг ребята заговорят своими словами .	возник
В последнее время на этих воскресных встречах [MASK] много гостей .	присутствует
Как [MASK] обязанности ?	распределялись
Во все времена в нашей стране [MASK] школы , вызывающие чистое , трепетное отношение учеников , рождавшие чувство святого товарищества , школьного братства , освещавшего человеку путь всю последующую жизнь .	были
Тем не менее из десятков и тысяч учебных заведений в памяти потомков [MASK] именно авторские школы , ибо именно они двигают вперед дело народного образования .	остаются
Но постепенно под действием административного давления [MASK] и окреп процесс усреднения .	начался
" [MASK] " и школа .	Выздоравливает
Резко [MASK] в цене новаторство и творчество .	поднялось
[MASK] среди них - заведомая убежденность в полезности дела как такового , заведомое уважение к тем , кто хочет учиться не как " протоптанней и легше " , а как труднее и неизведаннее , помноженное на столь же глубокое почтение к тем , кто готов учить этих очень непростых , очень требовательных учеников .	Главное
Время от времени [MASK] волна упреков в так называемой элитарности , хотя понятно , что преимущества перед другими тех лишь в необходимости заниматься науками много больше , чем в школе обычной . кто учится , скажем , в математической школе ,	поднималась
Разве не [MASK] недоумевающие учителя : если уж решено было вот так неожиданно сменить коней на переправе , то есть в самом конце школьного курса , то почему же нельзя было обкатать предлагаемую работу , направив ее , скажем , на первый курс любого математического вуза ?	правы
1 сентября гостеприимно [MASK] двери 895 университетов и институтов страны .	распахнут
Впервые [MASK] вузовский порог 654 тысячи юношей и девушек - столько же , как и в прошлом году .	перешагнут
Кем [MASK] студенческая семья ?	пополнилась
Как [MASK] перестройка в высшей школе ?	идет
На эти и другие вопросы корреспондента ТАСС [MASK] первый заместитель председателя Государственного комитета СССР по народному образованию Ф. Перегудов .	отвечает
Среди первокурсников на десять процентов [MASK] число медалистов средней школы .	увеличилось
Правда , несколько [MASK] доля молодых рабочих и колхозников , вчерашних воинов .	снизилась
Об этом [MASK] и письма в " Правду " , их количество за последний год увеличилось во много раз . .	свидетельствуют
Но за эти годы [MASK] драматические события - изъятие природных ресурсов стремительно нарастало , химия широко вторгалась в природу , произошли экологические события , близкие к кризисным , масштаб их из локального резко вырос до глобального уровня .	произошли
Не [MASK] эти острые проблемы и нашу страну , хотя в последние годы у нас многое делается для охраны природы и рационального природопользования .	обошли
Существенно [MASK] число случаев резких " пиковых " загрязнений .	снизилось
[MASK] эколого-санитарное состояние многих водных природных объектов , в частности реки Волги и Каспийского моря .	Улучшилось
В нашем городе [MASK] металлургический комбинат .	находится
И [MASK] новая удушающая кочегарка - цех кристаллического кремния алюминиевого завода .	вот
Наибольшую опасность [MASK] загрязнение атмосферного воздуха в городах .	представляет
Основными источниками загрязнения атмосферы ( кроме автотранспорта ) [MASK] предприятия Минэнерго , Минцветмета , Минчермета , Минхимпрома , Минудобрений , Миннефтехимпрома , Минлесбумпрома .	являются
К примеру , в Волгограде от таких выбросов [MASK] повреждение памятник " Родина - Мать " на Мамаевом кургане .	получил
- А куда же [MASK] , извините , госкомитет , который вы возглавляете ?	смотрит
Нарушителям [MASK] предписания , виновные лишаются премий , штрафуются .	направляются
- Всем [MASK] остановка Приозерского целлюлозного комбината , ряда предприятий в районе Ясной Поляны , биохимического завода в г . Кириши .	памятна
К началу восьмидесятых ее [MASK] менее одной тысячной доли запасов , а что сделали с землей ?	выбрали
В радиусе трех - пяти километров вокруг теплостанций и обогатительных фабрик [MASK] все живое , погибла трава .	погибло
[MASK] рвы , воронки , кучи земли .	Повсюду
Здесь же , недалеко от дороги , по самую крону в воде [MASK] молодой и , конечно , уже сухой сад .	стоял
В " саду " [MASK] камыш и рыжая щетинистая осока .	росли
В другой деревне на две половины [MASK] коровник , разрушился колодец , разверзлось кладбище .	разломался
На уцелевшем надгробии [MASK] несколько порожних бутылок из-под бормотухи , лежали остатки нехитрой закуски .	стояло
Ведь на голову этим людям почти три десятилетия [MASK] пыль , и не какая-нибудь : хлористый калий и сильвинит , сернистые вещества , соляная кислота , окислы азота и впридачу самое опасное - высшие алифатические амины .	сыплется
В зоне шахт [MASK] более 72 тысяч гектаров сельхозугодий .	оказалось
В 1980 году [MASK] неотложное переселение из опасной зоны 19 деревень , насчитывающих без малого 25 тысяч человек .	предполагалось
К 2000 году в эту зону [MASK] 78 деревень Солигорского и Любанского районов .	попадут
[MASK] истоки трагедии ?	Где
Не [MASK] себя ждать постановление заместителя прокурора республики А. Давлетшина ( ныне выдвинут на повышение ) об аресте .	заставляет
На этом [MASK] и новый прокурор Башкирии В. Крацев .	настаивает
" Еще [MASK] вопросы " , - неопределенно сказал мне Г. Никитин , давая понять , что Богданов пока не выпутался из их сетей и брать на себя ответственность они не торопятся .	имеются
" Круговой порукой в самом высоком партийном аппарате республики " [MASK] в письме в " Правду " подобные сговоры Н. Хуснуллин - бывший заместитель председателя Советского райисполкома , за мелочь исключенный из партии и недавно восстановленный Комитетом Партийного Контроля при ЦК КПСС .	называет
Рядом с ним не [MASK] места искренности , зато становятся нормой поведения сделки с совестью ради личного спокойствия , благополучия , материальных выгод .	находится
Башкирию , конечно , не [MASK] приметы перемен .	минули
Уже [MASK] забываться " черные понедельники " в Уфимском горкоме партии - еженедельные разносы на аппаратных совещаниях , не томятся в ожидании приема толпы руководителей в приемной Р. Рахматуллина .	стали
Более деловыми [MASK] заседания бюро обкома .	стали
Такого же [MASK] секретарь Советского райкома партии Ш. Биккулов , другие партийные работники , с кем доводилось беседовать в эти дни .	мнения
Только вот в [MASK] дело : их можно адресовать и ряду других райкомов автономной республики , а главное - самому обкому , который тоже допускает немало упущений в кадровой работе .	чем
В этой работе [MASK] быть больше внимания , заботы , вдумчивости и принципиальности в интересах дела " .	должно
Передо [MASK] два телефонных справочника со списками руководящих работников партийных , советских , профсоюзных , комсомольских и хозяйственных органов республики .	мной
В последнем [MASK] 80 процентов новых фамилий среди секретарей , заведующих отделами , работников аппарата обкома , партии .	справочнике
[MASK] почти все секретари горкомов и райкомов партии , председатели горисполкомов и райисполкомов , их заместители .	Сменились
[MASK] застойные явления , с которыми надо решительно бороться .	Накопились
[MASK] мощная освежающая струя .	Нужна
К руководству [MASK] молодые , знающие , энергичные работники , которые умело повели дело .	пришли
Творчески , с хорошей самоотдачей [MASK] недавно выдвинутые на ответственные посты первые секретари райкомов КПСС : Калевальского - М. Демидов , Пудожского - В. Маликов , генеральный директор объединения " Кареллеспром " И. Санкин и другие руководители .	работают
Но [MASK] на себя внимание другие факты , которых тоже немало .	обращают
[MASK] вопрос : почему , чем это вызвано ?	Возникает
[MASK] жалобы , протесты .	Посыпались
И [MASK] же результат ?	каков
- А [MASK] ваша роль в этой кадровой политике ! - спросил я бывшего заведующего отделом организационно - партийной работы обкома партии В. Автономова .	какова
Кстати сказать , за четыре последних года в обкоме КПСС уже четыре раза [MASK] заведующие отделом организационно - партийной работы - отделом , подчеркну , особым , где недопустима такая текучесть .	сменялись
Вот , скажем , в Ленинском райкоме КПСС города Петрозаводска за два последних года почти полностью [MASK] весь аппарат .	обновился
Вот к чему [MASK] кадровая чехарда , не имеющая ничего общего с подлинной перестройкой .	приводит
В [MASK] много коллективов , не справляющихся с поставками по договорам .	республике
С большими перекосами [MASK] в республике борьба с пьянством и алкоголизмом .	идет
У винных магазинов [MASK] ежедневно по несколько тысяч человек , есть случаи гибели людей у прилавков .	скапливается
А ведь за все эти направления [MASK] конкретные люди , причем многие из них выдвинуты к руководству совсем недавно .	отвечают
[MASK] пути улучшения дела ?	Каковы
О них [MASK] многие коммунисты , с которыми довелось встречаться и беседовать .	говорят
[MASK] и выборы хозяйственных руководителей , которые стали проводиться в республике , но пока редко , другие формы демократического , гласного подбора людей на выдвижение .	Помогут
Ответ на столь актуальный вопрос [MASK] принятое на днях постановление ЦК КПСС " О движении за коллективную гарантию трудовой и общественной дисциплины " .	содержит
В нем [MASK] опыт , рожденный трудящимися Северского трубного завода имени Ф. А. Меркулова Свердловской области .	раскрывается
При отсутствии в коллективах нарушений [MASK] различные формы материального и морального поощрения , в частности увеличивается вознаграждение по итогам работы за год .	применяются
